"id","idade","sexo","horas_estudo_dia","horas_sono","frequencia","uso_celular_estudo","stress","numero_pets","nota_final"
171,18,1,8.2,7.5,34,2.6,4.2,1,5.73
172,22,1,5.8,6.3,25,1.6,5.2,1,3.46
173,25,2,10.7,6.2,42,2.8,4.9,0,5.98
174,30,1,7.5,8.6,47,1,5.6,1,5.86
175,35,1,10.4,6.5,26,4.8,3.6,1,5.84
176,27,2,8.4,7.6,28,1.9,5.1,0,5.26
177,23,2,9.5,7.1,100,4.1,1.9,1,8.85
178,24,2,7.9,6.1,32,1.5,6.9,0,4.48
179,26,1,8.5,7.9,33,2.6,7.9,1,4.64
180,33,1,8.2,7.4,40,2.1,4.9,1,5.23
181,34,1,7.8,8.9,45,3.6,7,0,5.52
182,30,2,7.9,7.3,49,0.8,5.5,0,5.73
183,25,2,9,6.8,83,1.9,3.8,0,7.48
184,24,1,7.8,7.5,74,1.3,5.2,1,6.21
185,35,2,6,5.8,33,4.1,4.4,0,3.24
186,34,2,7.8,6.2,100,3.2,1.7,2,7.15
187,18,2,8.5,7.8,47,3.8,5.9,0,5.79
188,19,1,8.6,6.8,26,2.9,6.4,0,4.59
189,34,1,8.6,7.1,21,5,3.6,1,4.68
190,19,2,6.3,7.1,64,1.7,4.5,1,5.27
191,30,2,8.4,6.4,21,1.9,3.2,0,5.14
192,34,1,9,4.8,100,4.2,2.8,1,6.42
193,20,2,9.3,7.6,26,1.9,3.2,1,6.3
194,35,1,7.8,8.1,83,0.3,5.4,0,6.77
195,19,1,7.7,5.7,63,0.2,5.2,2,5.37
196,22,1,9.5,9,47,3.4,4,2,7.35
197,29,1,6.3,7.7,34,4.2,4.5,3,4.21
198,30,1,7.6,8.8,73,4.7,5.4,2,6.57
199,27,1,8.5,6.1,56,2.5,6.4,1,5.12
200,23,1,6.4,7.4,92,1.7,5.1,2,6.53
201,27,1,8.3,7.1,21,0.7,4.7,0,5.32
202,27,1,9.9,8.1,21,3.3,3.5,0,6.08
203,23,1,8,6.5,29,1,6.4,1,4.81
204,33,1,7.7,7.2,61,1.4,4,0,6.48
205,33,2,8.5,5.1,38,2.3,2.8,1,4.74
206,20,1,7.7,6.3,65,2.5,8.4,1,4.66
207,21,1,8.8,7.4,30,1.6,3.6,1,6.42
208,20,2,8.9,6.4,31,4,5.8,1,4.61
209,20,2,8,7.1,42,1.3,7.4,3,5.11
210,33,1,6.8,6.6,31,0.9,6.4,3,4.48
211,19,1,6.7,7.9,100,0.5,4.6,1,7.28
212,32,1,7.4,8.6,100,1.4,8.7,3,6.16
213,20,1,8.8,6.2,30,1.1,4.3,1,5.28
214,26,1,6,6.8,28,3.5,2.6,0,4.36
215,24,2,6.1,8.9,25,2.6,6.8,0,3.83
216,26,1,7.3,4.6,60,3.3,6.9,0,3.52
217,21,2,8.4,6.8,31,0.8,7.2,0,4.66
218,19,1,7.1,9.7,68,4,3.7,1,6.04
219,29,1,8.9,9.8,25,1,4.7,0,6.99
220,26,1,8.3,7.4,49,4.5,10,3,3.82
221,28,2,7.8,6.2,87,0.5,5,1,6.09
222,24,1,8.8,7.4,35,3.9,7.5,0,4.47
223,30,2,8.4,6.4,66,0.5,5.3,0,6.03
224,22,1,7.6,8.9,30,0.7,4.5,0,6.07
225,28,2,8.2,6.2,29,1,1.1,2,5.36
226,18,1,8.6,7.6,100,2.8,3.2,3,7.59
227,29,1,8.4,7.9,53,3.3,2.1,0,6.56
228,19,2,7.3,6.3,34,1.7,3.2,3,4.93
229,34,2,8.9,8.2,29,2.6,6.7,0,5.69
230,29,1,9.2,6.3,44,2.5,7,1,4.9
231,20,1,8.3,8,61,1.6,5.4,0,6.56
232,35,1,8.1,8.5,45,4.1,4.1,0,6.27
233,32,1,7.9,6,31,4.4,6.5,1,2.79
234,20,2,10.2,8.5,66,3,3.5,0,7.92
235,35,2,8.3,6.6,96,1.4,5.2,1,7.22
236,34,2,7.8,7.6,100,2.8,5.1,2,6.99
237,23,2,5.5,7.4,81,3.3,8.9,1,4.41
238,27,2,6.4,6.7,22,2.3,7.3,3,3.09
239,25,1,7.9,7.5,84,3.2,3.8,0,7.08
240,27,1,8.2,5.7,21,3.3,6.8,1,3.51
241,30,1,8.3,7,57,4.3,4,0,5.6
242,23,1,8.8,8.2,42,0.6,5,0,6.57
243,26,1,7.8,4.6,52,4.3,6.7,0,3.34
244,33,1,9.2,5.4,21,1.7,0.7,1,6.08
245,25,1,7.1,5.8,74,4.1,6.1,2,4.94
246,24,1,6.8,5.3,100,4.7,4.4,1,5.4
247,27,1,6.8,7.7,55,1.1,4.2,0,5.69
248,34,2,8.7,6,36,3.7,1.9,0,5.29
249,35,2,7.9,4.6,45,2.8,5.7,0,3.6
250,25,1,8.8,6.4,100,0.8,3.6,1,7.59
251,27,2,7.7,6.7,60,1.4,8.8,3,4.67
252,28,1,7.4,8.2,98,0.5,6.1,2,7.38
253,34,1,7.6,5.9,69,0.4,3.6,1,6.71
254,29,2,6.1,8.6,26,0.8,6.4,1,4.72
255,19,1,6.8,7.7,33,3.1,5.6,2,4.2
256,30,2,6.6,7.6,21,3.6,7.7,1,3.61
257,30,2,9.1,6.2,63,3.2,8,1,4.73
258,27,1,7.4,9.5,66,3.3,3.4,1,6.67
259,33,2,8.8,7,22,0.5,6.2,3,4.77
260,22,1,9.5,5,33,1.4,3.7,1,5.28
261,21,1,7.8,7,27,4.8,5.8,1,3.46
262,35,1,8.3,4.9,76,1.8,7.5,1,5.32
263,18,1,6.2,6.8,54,0.8,7.9,0,4.42
264,33,1,7.2,6.7,49,4.2,3.4,2,5.28
265,34,1,8.1,8,58,4.2,4.3,3,6.03
266,29,1,8.3,8.4,52,1.9,1.8,1,7.53
267,19,1,7.2,6.3,67,3.4,6.9,2,4.69
268,35,2,10.7,8.2,24,2.4,6.9,0,6.42
269,29,1,7.5,8.9,22,0.8,6.7,1,4.92
270,32,2,8.1,6.3,28,3.2,6.1,2,3.92
271,23,1,8.6,6.4,78,4.1,6.1,1,5.88
272,33,1,8,8,100,2.1,4.6,2,7.26
273,32,1,7.4,7.4,58,2.2,4,1,6.47
274,20,2,9,7.9,27,1.2,4.8,1,6.06
275,31,2,9.6,8.9,82,0.4,10,0,7.44
276,18,1,8,7.7,36,1.7,6.1,0,5.33
277,18,2,8.6,8.5,66,1.1,4.8,3,7.76
278,33,1,7.9,7.9,93,0.7,6.1,3,7.04
279,28,2,9,7.7,98,2.8,4.6,1,7.72
280,21,1,6.8,7.7,47,3.4,8.1,0,4.17
281,29,1,10.3,8.7,61,1.6,7.2,2,7.27
282,30,1,7.4,6,44,4.5,1.6,0,4.98
283,27,1,6.5,5.9,100,1.2,4.3,1,5.99
284,27,1,7.6,7.9,53,3,2.6,3,6.52
285,24,1,8.1,7.1,55,3.3,5.5,1,5.37
286,35,1,9.6,7.3,23,4,5.5,0,5.15
287,34,2,8.9,8.1,100,2.2,7.1,2,7.45
288,26,1,8.1,8.1,26,1.3,3.2,0,5.7
289,28,1,6.6,6.9,30,2.8,3,0,4.7
290,29,1,7.1,6.8,23,2.2,5,0,4.06
291,25,1,7.8,7.3,38,2.8,2.3,0,5.82
292,35,1,10.6,8.5,24,2.2,7.2,0,6.19
293,22,2,6.1,7.7,65,4.7,4.6,1,5.05
294,35,2,9.1,8.9,66,0.4,2.8,2,8.42
295,23,1,7.5,7.2,27,1.6,4.8,0,4.93
296,27,1,9.7,8.6,65,2.7,6.9,2,7.21
297,26,1,6.9,8.3,97,3.4,8,2,5.78
298,28,1,8.1,7.9,30,3.4,8.2,1,4.21
299,23,1,6.9,7.7,100,0,6.3,1,7.03
300,29,1,8.9,6.9,74,3.8,6.3,0,5.72
301,21,2,9.5,7.1,27,1.3,6.7,0,5.73
302,20,2,10,7.5,100,4.5,9.6,0,6.58
303,31,2,8.8,7.3,53,2.4,3.4,1,6.49
304,25,2,9.8,8.3,24,0.4,6.5,0,5.94
305,23,2,9.2,7.1,24,1.8,4.8,1,5.83
306,21,1,7.9,7.1,53,3.7,8,0,4.67
307,27,1,8.5,6.6,73,2.4,9,1,5.34
308,33,1,7,7,42,3.8,1.9,1,5.09
309,33,2,7.8,7.1,45,1.4,2.2,0,5.96
310,27,1,9.2,4.4,45,2.1,4.4,2,4.69
311,23,1,8.5,5.6,48,3.7,5.4,0,5.16
312,21,2,8.5,7.1,44,3.6,4,0,5.58
313,26,2,7,6.9,23,1,4.8,1,5.08
314,21,1,7.4,5.8,35,0.4,4.1,1,4.8
315,32,1,7.2,4.8,82,2.6,9.6,2,3.95
316,34,1,8.4,6.8,82,2.9,3.8,0,6.52
317,24,1,7,8,20,0.4,5,2,5.28
318,32,2,8.6,9.3,46,0,5.1,1,7.01
319,22,1,6.9,7.2,30,0.9,7.9,0,4.15
320,31,1,9.8,9,21,3.1,4.4,0,6.01
321,32,2,8.5,7.3,51,3.6,3,1,6.35
322,32,1,7.3,7.3,84,4.7,7.8,2,5.26
323,33,2,8.2,7.6,22,2.4,8.2,1,3.53
324,25,2,7.6,6.2,32,4.7,2,2,4.41
325,22,2,8.4,7.1,27,2,4.9,0,4.83
326,24,2,8.2,8.3,30,0,5.3,0,6.24
327,33,2,7,6.3,37,0.1,5.4,0,4.79
328,33,2,7.2,6.8,27,3.5,4.6,2,3.94
329,26,1,8.3,5.8,100,4.8,3.7,0,6.35
330,28,1,9.6,7.6,33,1.8,7.6,0,5.75
331,28,1,9.1,7.7,100,1.9,4.9,0,7.49
332,27,1,7.4,8,26,2.5,5.4,1,4.8
333,19,1,8.8,5.7,25,4.6,4,2,4.41
334,23,1,8,7.3,56,0.1,7.4,2,5.79
335,31,1,8.3,6.1,37,0.5,4.3,1,5.05
336,31,1,8.3,7.2,39,3.2,6,2,4.78
337,23,2,10.6,8.8,36,1.1,7.5,2,6.93
338,35,1,6.8,6.6,53,1.5,4.7,0,5.09
339,19,1,8.1,8.1,21,4.3,1.9,0,5.8
340,25,1,6.2,6.3,52,3.2,5.6,1,4.3
341,28,2,8.6,6.6,38,1.7,3,0,5.92
342,24,1,9.1,7.7,28,2.1,8.8,0,5.34
343,25,2,9.4,6.4,62,2.4,6.9,0,5.83
344,27,1,6.1,5.2,33,0.8,5.1,2,3.56
345,22,1,8.4,8.7,21,2.7,5.2,2,5.58
346,34,1,9.6,7.6,30,3.2,6.8,0,5
347,23,2,7.6,6.5,45,2.1,8.2,1,4.2
348,25,2,7.8,4.8,48,3.6,5.8,2,3.73
349,23,2,8,9.5,27,4.6,7,1,5
350,32,2,8.4,11.3,58,2.6,5.7,2,7.5
351,34,1,8.7,7.4,31,2.2,8.1,1,4.59
352,20,1,9.3,8.2,62,3.6,10,0,5.19
353,32,2,7.9,8.7,26,1.3,3.4,2,5.79
354,18,2,8.2,6.4,31,1.6,3.1,2,4.73
355,22,1,10.5,6.8,63,0.6,1.1,1,8.45
356,28,2,8.4,5.1,97,4.5,6.1,0,5.44
357,32,2,8.2,6.3,77,4.8,4.1,0,6
358,19,1,6.7,7.9,100,1.8,7.7,1,6.27
359,33,2,8,6.9,61,2.6,1.5,0,6.4
360,27,2,7.8,6.9,34,1.4,5.9,1,4.66
361,34,2,8,7.1,44,0.8,6.3,0,4.95
362,24,2,7.4,5,64,4.3,2.6,2,4.63
363,23,1,7.3,8.2,40,2.1,1.2,0,7.11
364,29,2,7.3,5.5,40,4.3,6,2,3.69
365,21,1,7.8,6.9,61,3.1,2.5,2,5.78
366,19,1,9.4,6.7,36,3.8,3.3,1,5.1
367,21,1,9,6.9,48,0.1,4.4,0,6.3
368,28,1,7.6,9,100,2.9,6.7,1,7.28
369,18,1,6.3,6.5,26,0.2,2.7,0,4.78
370,35,2,7.2,6.3,20,4.7,3.6,0,3.56
371,33,1,7.5,5.4,36,2.2,2.5,0,4.51
372,20,1,8.1,6.2,59,0.8,4.8,1,5.88
373,18,1,7.3,5.8,100,2.8,3.8,2,6.45
374,19,1,10,7.7,22,4.4,8.5,1,5.56
375,19,2,7.7,6.2,37,0.3,5.8,1,4.73
376,25,1,6.8,7.6,100,4.8,9.3,1,5.01
377,31,1,7.9,7,33,4.3,4.8,1,4.72
378,30,1,7,5.5,26,2.6,7,0,2.81
379,24,2,8.2,6.3,40,4.2,5.2,2,4.82
380,25,1,8.2,8.3,58,3.6,4.4,1,5.93
381,20,1,8.4,8.3,55,5,8.5,0,5.06
382,33,1,6.4,9.6,32,3.6,8.2,0,3.65
383,18,1,8.2,7.2,43,2.5,4.4,1,5.76
384,29,2,8.3,5.4,62,4.4,2.9,0,5.29
385,35,2,6.6,6.3,21,1,5.9,0,4.1
386,31,1,9,7.7,32,1,9,1,4.72
387,25,2,8.8,9.5,47,0.3,7.7,0,6.26
388,22,2,10.3,7.3,32,4.1,1.3,1,7.21
389,34,1,8.2,8.6,31,3.5,1.3,1,6.46
390,28,1,8,8.1,66,0.2,5.9,2,6.14
391,21,1,8.1,5.8,27,4.6,7.6,0,3.4
392,30,1,8.1,7,63,4.9,5.2,2,5.12
393,25,2,6.2,8.8,22,4.1,4.3,3,4.49
394,32,1,6.3,8.3,26,1.4,8.7,1,4.08
395,21,1,7.9,7.8,64,2.3,9.3,3,5.15
396,30,2,7.4,7.8,23,1.9,5.8,2,4.81
397,20,1,8.1,6.6,24,0.3,5.1,3,5.44
398,24,1,5.9,5.6,55,3,6.1,0,3.35
399,18,2,6.5,8.8,43,1.6,4.8,2,5.26
400,23,2,6.9,5.5,99,0.5,3.7,0,6.58
